Source File	Size	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/fhir.astp.bhp.xml	42388	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	1	0	0	106	231	0	0	0	2	0	6
/input/resources/structuredefinition/mental-health-clinical-notes.xml	1182	0	45	1	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	183	399	0	0	0	4	0	5
/input/resources/structuredefinition/bh-grant-info.xml	3119	0	30	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	214	225	0	0	0	4	0	3
/input/resources/structuredefinition/program-info.xml	3561	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	95	92	0	0	0	1	1	0
/input/resources/valueset/mental-health-clinical-note-types.xml	1486	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	16	98	0	0	0	1	0	0
/input/resources/valueset/bh-funding-types.xml	1077	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
/input/resources/codesystem/bh-funding-type-codes.xml	1111	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0
/input/resources/patient/bh-patient-example.xml	4817	0	0	0	0	0	0	1	1222	0	0	0	0	0	0	0	0	0	0	30	14	0	0	0	0	0	0
/input/resources/practitioner/ed-physician-example-1.xml	952	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
/input/resources/practitioner/pcp-provider-example-1.xml	1059	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
/input/resources/practitioner/mental-health-provider-example-1.xml	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	1
/input/resources/allergyintolerance/peanut-allergy-example-1.xml	1415	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
/input/resources/allergyintolerance/penicillin-allergy-example-1.xml	1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
/input/resources/careteam/bh-care-team-example-1.xml	1303	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
/input/resources/condition/panic-attack-condition-example-1.xml	1670	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
/input/resources/condition/chest-pain-condition-example-1.xml	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
/input/resources/condition/depression-condition-example-1.xml	2010	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
/input/resources/condition/diabetes-condition-example-1.xml	1844	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
/input/resources/condition/grief-condition-example-1.xml	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
/input/resources/condition/substance-abuse-condition-example-1.xml	1646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
/input/resources/consent/SDOHCC-ConsentInformationDisclosure-example-1.xml	3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	0	0	1	0	0	0
/input/resources/coverage/medicaid-coverage-example-1.xml	1772	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
/input/resources/organization/fl-medicaid-example-1.xml	743	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
/input/resources/diagnosticreport/ekg-impression-report-example-1.xml	1020	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
/input/resources/documentreference/mental-health-discharge-summary-example-1.xml	1524	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0
/input/resources/documentreference/mental-health-consult-note-example-1.xml	1509	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	0	0
/input/resources/documentreference/mental-health-hx-physical-example-1.xml	1534	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
/input/resources/documentreference/mental-health-procedure-example-1.xml	1532	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
/input/resources/documentreference/mental-health-progress-example-1.xml	1611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
/input/resources/encounter/ed-encounter-example-1.xml	3479	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	20	25	0	0	0	0	0	0
/input/resources/encounter/obs-encounter-example-2.xml	2232	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
/input/resources/encounter/discharge-encounter-example-3.xml	3423	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0
/input/resources/encounter/pcp-encounter-example-4.xml	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
/input/resources/goal/food-insecurity-example-1.xml	1706	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
/input/resources/goal/housing-insecurity-example-1.xml	1753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
/input/resources/goal/transportation-insecurity-example-1.xml	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
/input/resources/goal/social-connection-example-1.xml	905	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
/input/resources/immunization/flu-vaccine-example-1.xml	1111	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
/input/resources/location/ed-location-example-1.xml	1067	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
/input/resources/location/obs-location-example-1.xml	1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
/input/resources/medication/benzo-medication-example-1.xml	532	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
/input/resources/medicationdispense/bupropion-dispense-example-1.xml	973	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
/input/resources/medicationrequest/benzo-order-example-1.xml	1123	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
/input/resources/medicationrequest/metformin-discharge-med-example-1.xml	1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
/input/resources/medicationrequest/ativan-discharge-med-example-1.xml	1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
/input/resources/medicationrequest/paroxetine-discharge-med-example-1.xml	7912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	26	0	0	0	0	0	0
/input/resources/medicationrequest/bupropion-discharge-med-example-1.xml	1198	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
/input/resources/observation/bh-grant-info-observation-example-1.xml	4002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
/input/resources/observation/average-blood-pressure-example-1.xml	2332	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
/input/resources/observation/ekg-observation-example-1.xml	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
/input/resources/observation/no-morphine-preference-observation-example-1.xml	1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0
/input/resources/observation/non-smoker-example-1.xml	1351	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
/input/resources/observation/provider-preference-observation-example-2.xml	1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
/input/resources/questionnaireresponse/barthel-index-functional-status-example-1.xml	4328	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	21	0	0	0	0	0	1
/input/resources/observation/cognitive-status-observation-example-3.xml	1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
/input/resources/observation/disability-status-observation-example-1.xml	1659	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
/input/resources/observation/pregnancy-status-example-1.xml	1466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
/input/resources/observation/temperature-example-1.xml	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
/input/resources/observation/height-example-1.xml	1247	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
/input/resources/observation/blood-pressure-example-1.xml	2176	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
/input/resources/observation/heart-rate-example-1.xml	1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
/input/resources/observation/oxygen-saturation-example-1.xml	1495	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
/input/resources/observation/respiratory-rate-example-1.xml	1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
/input/resources/observation/weight-example-1.xml	1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	17	0	0	0	0	0	0
/input/resources/observation/anxiety-assessment-observation-example-1.xml	1854	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
/input/resources/observation/hemoglobin-a1c-example-1.xml	1599	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
/input/resources/organization/mh-provider-example-1.xml	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
/input/resources/questionnaireresponse/BHP-QuestionnaireResponsePRAPAREExample-1.xml	12006	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	97	23	0	0	0	0	0	0
/input/resources/questionnaireresponse/phq-9-example-1.xml	4836	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	50	23	0	0	0	0	0	0
/input/resources/questionnaireresponse/C-SSRS-example-1.xml	3576	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	44	19	0	0	0	0	0	0
/input/resources/questionnaireresponse/hark-example-1.xml	2460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	18	0	0	0	0	0	0
/input/resources/questionnaireresponse/ace-example-1.xml	3461	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	42	17	0	0	0	0	0	0
/input/resources/relatedperson/adult-child-relatedperson-example-1.xml	1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
/input/resources/questionnaireresponse/alcohol-use-identification-test-1.xml	1802	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	31	18	0	0	0	0	0	0
/input/resources/servicerequest/ServiceRequest-peer-mentoring-example-1.xml	1291	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
/input/resources/procedure/bh-prevention-education-program-example-1.xml	971	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
/input/resources/procedure/alcohol-prevetion-education-example-1.xml	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
/input/resources/procedure/harm-reduction-example-1.xml	729	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
